row_idx,id,title,categoria,municipio,territorio,fuente
0,1,Dendaraba,comercio,Vitoria-Gasteiz,araba,https://turismoa.euskadi.eus/es/centros-comerciales/dendaraba/webtur00-content/es/
1,2,El Boulevard,comercio,Vitoria-Gasteiz,araba,https://turismoa.euskadi.eus/es/centros-comerciales/el-boulevard/webtur00-content/es/
2,3,Parque Comercial Gorbeia,comercio,Zigoitia,araba,https://turismoa.euskadi.eus/es/centros-comerciales/parque-comercial-gorbeia/webtur00-content/es/
3,4,Lakua Centro,comercio,Vitoria-Gasteiz,araba,https://turismoa.euskadi.eus/es/centros-comerciales/lakua-centro/webtur00-content/es/
4,5,Artea,comercio,Leioa,bizkaia,https://turismoa.euskadi.eus/es/centros-comerciales/artea/webtur00-content/es/
5,6,Bidarte,comercio,Bilbao,bizkaia,https://turismoa.euskadi.eus/es/centros-comerciales/bidarte/webtur00-content/es/
6,7,Max Center,comercio,Barakaldo,bizkaia,https://turismoa.euskadi.eus/es/centros-comerciales/max-center/webtur00-content/es/
7,8,Zubiarte,comercio,Bilbao,bizkaia,https://turismoa.euskadi.eus/es/centros-comerciales/zubiarte/webtur00-content/es/
8,9,Megapark Barakaldo,comercio,Barakaldo,bizkaia,https://turismoa.euskadi.eus/es/centros-comerciales/megapark-barakaldo/webtur00-content/es/
9,10,La Bretxa,comercio,Donostia / San Sebastián,gipuzkoa,https://turismoa.euskadi.eus/es/centros-comerciales/la-bretxa/webtur00-content/es/
10,11,Arcco Amara,comercio,Donostia / San Sebastián,gipuzkoa,https://turismoa.euskadi.eus/es/centros-comerciales/arcco-amara/webtur00-content/es/
11,12,Garbera,comercio,Donostia / San Sebastián,gipuzkoa,https://turismoa.euskadi.eus/es/centros-comerciales/garbera/webtur00-content/es/
12,13,Mendibil,comercio,Irun,gipuzkoa,https://turismoa.euskadi.eus/es/centros-comerciales/mendibil/webtur00-content/es/
13,14,Txingudi,comercio,Irun,gipuzkoa,https://turismoa.euskadi.eus/es/centros-comerciales/txingudi/webtur00-content/es/
14,15,Urbil,comercio,Usurbil,gipuzkoa,https://turismoa.euskadi.eus/es/centros-comerciales/urbil/webtur00-content/es/
