fuente,external_id,nombre,descripcion,categoria,tipo_plantilla,municipio,territorio,direccion,lat,lng,telefono,email,website,es_lluvia,es_carrito,es_cambiador,es_silla_ruedas,es_mascotas,edad_minima,fecha_inicio,fecha_fin,lugar,precio,imagen_url,tipo_evento
,https://www.kulturklik.euskadi.eus/evento/2017112914455182/irakurri-lease-euzkadi-obra-de-aurelio-arteta/kulturklik/es/webkklik00-detalle/es/,"""Irakurri-Léase 'Euzkadi'"", obra de Aurelio Arteta",,evento_cultural,Evento cultural,Bilbao,bizkaia,"Museo Plaza, 2",43.2638937838451,-2.94611120363697,,,https://www.kulturklik.euskadi.eus/evento/2017112914455182/irakurri-lease-euzkadi-obra-de-aurelio-arteta/kulturklik/es/webkklik00-detalle/es/,True,True,True,True,False,2,27/11/2017,31/12/2027,Museo de Bellas Artes de Bilbao,,,Exposición
,https://www.kulturklik.euskadi.eus/evento/2019061015154274/bilbao-escultura-de-richard-serra/kulturklik/es/webkklik00-detalle/es/,"""Bilbao"", escultura de Richard Serra",,evento_cultural,Evento cultural,Bilbao,bizkaia,"Museo Plaza, 2",43.2638937838451,-2.94611120363697,,,https://www.kulturklik.euskadi.eus/evento/2019061015154274/bilbao-escultura-de-richard-serra/kulturklik/es/webkklik00-detalle/es/,True,True,False,True,False,4,14/11/2018,31/12/2029,Museo de Bellas Artes de Bilbao,,/contenidos/evento/2019061015154274/es_def/images/noticiaslider341360.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2019070308323575/exposicion-permanente-del-centro-del-traje/kulturklik/es/webkklik00-detalle/es/,Exposición permanente del Centro del Traje,,evento_cultural,Evento cultural,Errenteria,gipuzkoa,"Kapitanea kalea, 6",43.312906,-1.898544,,,https://www.kulturklik.euskadi.eus/evento/2019070308323575/exposicion-permanente-del-centro-del-traje/kulturklik/es/webkklik00-detalle/es/,True,False,False,True,False,2,22/06/2019,31/12/2029,Jantziaren Zentroa (Museo del Traje Vasco),,/contenidos/evento/2019070308323575/es_def/images/jantziarenzentrokoerakusketairauunkorra.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2020/06/04/gozatu-sarean-euskaraz-online-/webkklik00-detalle/es/,Gozatu Sarean Euskaraz  (online),,evento_cultural,Evento cultural,Vitoria-Gasteiz,araba,,42.846718,-2.671635,,,https://www.kulturklik.euskadi.eus/evento/2020/06/04/gozatu-sarean-euskaraz-online-/webkklik00-detalle/es/,True,False,True,True,False,6,04/06/2020,04/06/2028,,,/contenidos/evento/2020061212074318/es_def/images/21.jpg,Otros
,https://www.kulturklik.euskadi.eus/evento/2021/06/09/imagen-e-historia-1839-1980-/webkklik00-detalle/es/,"""Imagen e historia 1839-1980""",,evento_cultural,Evento cultural,Bilbao,bizkaia,"María Diaz de Haro, 3",43.264243,-2.942972,,,https://www.kulturklik.euskadi.eus/evento/2021/06/09/imagen-e-historia-1839-1980-/webkklik00-detalle/es/,True,False,True,True,False,4,09/06/2021,30/06/2031,Archivo Histórico de Euskadi,Gratis,/contenidos/evento/2021060711042488/es_def/images/n770Irekia3.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2021/07/06/raices-del-oceano-exposicion-permanente-/webkklik00-detalle/es/,"""Raíces del Océano"" (exposición permanente)",,evento_cultural,Evento cultural,Bilbao,bizkaia,,43.2662375756903,-2.94631004333496,,,https://www.kulturklik.euskadi.eus/evento/2021/07/06/raices-del-oceano-exposicion-permanente-/webkklik00-detalle/es/,True,False,False,True,False,2,06/07/2021,06/07/2100,Diques de Itsasmuseum,,/contenidos/evento/2021070613091245/es_def/images/bLIZASOITSASMUSEUM5769.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2021/10/06/baso-bidaiariak-bosques-viajeros-intervencion-artistica-de-jose-ramon-ais/webkklik00-detalle/es/,"""Baso bidaiariak / Bosques viajeros"", intervención artística de José Ramón Ais",,evento_cultural,Evento cultural,Bilbao,bizkaia,,43.26252,-2.91869,,,https://www.kulturklik.euskadi.eus/evento/2021/10/06/baso-bidaiariak-bosques-viajeros-intervencion-artistica-de-jose-ramon-ais/webkklik00-detalle/es/,True,True,False,True,False,6,06/10/2021,31/12/2031,Parque de Etxebarria,,,Exposición
,https://www.kulturklik.euskadi.eus/evento/2023/03/31/bilduma-hau-coleccion-movimientos-elementales-1950-2000-/webkklik00-detalle/es/,"""Bilduma Hau Colección. Movimientos elementales (1950-2000)""",,evento_cultural,Evento cultural,Vitoria-Gasteiz,araba,"Calle Francia, 24",42.8495,-2.66735,,,https://www.kulturklik.euskadi.eus/evento/2023/03/31/bilduma-hau-coleccion-movimientos-elementales-1950-2000-/webkklik00-detalle/es/,True,False,True,False,False,4,31/03/2023,31/03/2035,Artium Museoa,,/contenidos/evento/2023032013594374/es_def/images/93b187e9f9d0438e71fd0862f17ca2cdL.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2023/05/07/ukedada-zawp/webkklik00-detalle/es/,UKEDADA ZAWP,,evento_cultural,Evento cultural,Bilbao,bizkaia,"Pintor Ignazio Zuloaga, 3-9",43.271418,-2.96354,,,https://www.kulturklik.euskadi.eus/evento/2023/05/07/ukedada-zawp/webkklik00-detalle/es/,True,False,False,True,False,0,07/05/2023,02/07/2033,ZAWP (Zorrotzaurre Art Work in Progress) / La Nave Va + La Terminal,10 / 15 ?,/contenidos/evento/2023050413471414/es_def/images/35.jpg,Curso-taller
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-la-industria-armera-exposicion-permanente/webkklik00-detalle/es/,Evolución Industrial en Eibar - exposición permanente,,evento_cultural,Evento cultural,Eibar,gipuzkoa,"Bista Eder, 10 - 5º",43.1846518424979,-2.47001409530639,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-la-industria-armera-exposicion-permanente/webkklik00-detalle/es/,True,False,False,False,False,6,01/01/2014,31/12/2034,Museo de la Industria Armera de Eibar,"1,5 / 3 ?",/contenidos/evento/2024022610260874/es_def/images/b794f06732e3473282c3be6741901b7f.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-la-industria-armera-exposicion-permanente111/webkklik00-detalle/es/,Museo de la Industria Armera - exposición permanente,,evento_cultural,Evento cultural,Eibar,gipuzkoa,"Bista Eder, 10 - 5º",43.1846518424979,-2.47001409530639,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-la-industria-armera-exposicion-permanente111/webkklik00-detalle/es/,True,False,False,True,False,4,01/01/2014,31/12/2034,Museo de la Industria Armera de Eibar,"1,5 / 3 ?",/contenidos/evento/2024022610430069/es_def/images/2a5d08def1f84fcb9b5a9b135f669fee.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-del-ferrocarril-coleccion-exposicion-permanente-/webkklik00-detalle/es/,Museo del Ferrocarril - colección (exposición permanente),,evento_cultural,Evento cultural,Azpeitia,gipuzkoa,"Julian Elorza, 8",43.1857314003284,-2.26204633712768,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-del-ferrocarril-coleccion-exposicion-permanente-/webkklik00-detalle/es/,True,False,False,True,False,6,01/01/2014,31/12/2034,Fundación del Museo Vasco del Ferrocarril,3 / 6 ?,/contenidos/evento/2024022611302489/es_def/images/M5Museovascodelferrocarrilazpeitia.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2020/02/01/orconera-lutxana-bilduma-deposito-de-patrimonio-industrial-mueble-exposicion-y-visitas-/webkklik00-detalle/es/,Orconera Lutxana Bilduma: depósito de patrimonio industrial mueble (exposición y visitas),,evento_cultural,Evento cultural,Barakaldo,bizkaia,"Andikollano, 31",43.28884372942702,-2.9789600683748527,,,https://www.kulturklik.euskadi.eus/evento/2020/02/01/orconera-lutxana-bilduma-deposito-de-patrimonio-industrial-mueble-exposicion-y-visitas-/webkklik00-detalle/es/,True,True,True,True,False,6,01/02/2020,31/12/2034,Orconera-Lutxana Bilduma,,/contenidos/evento/2024022613041356/es_def/images/OndareLagunakOrkoneraLutxanaBilduma.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/sagardoetxea-sagardoaren-museoa-erakusketa-eta-bisitak/webkklik00-detalle/es/,"Sagardoetxea, sagardoaren museoa - erakusketa eta bisitak",,evento_cultural,Evento cultural,Astigarraga,gipuzkoa,"Kale Nagusia, 48",43.2814856441289,-1.94571733474731,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/sagardoetxea-sagardoaren-museoa-erakusketa-eta-bisitak/webkklik00-detalle/es/,True,True,False,False,False,2,01/01/2014,31/12/2034,Sagardoetxea. Museo de la Sidra Vasca,5 ?,/contenidos/evento/2024022613560682/es_def/images/4272eu.jpg,Exposición
